Player,Original_Position,AI_Top_Positions,Adaptability_Score
S. Brewer Jr.,LW,"ST, RM, LM, LW, RW",0
A. Al Moghir,CB,"CB, RB, LB, CM, CDM",1
J. Riquelme,LB,"LB, RB, CM, CDM, RWB",1
J. Delianov,GK,"GK, CB, CAM, CDM, CF",1
Jeong Hee Woong,CAM,"CAM, RM, CM, LM, RW",1
Zheng Zhiming,CB,"CB, LB, RB, CDM, CAM",1
N. Ziswiler,GK,"GK, CB, CAM, CDM, CF",1
H. Ræstad,GK,"GK, CB, CAM, CDM, CF",1
C. Romaña,CB,"CB, LB, RB, CDM, CF",1
C. Metcalfe,CM,"CM, CDM, RB, CB, LB",1
Deng Yubiao,CM,"CM, CAM, RM, CDM, LM",1
J. Walker,ST,"ST, CM, CAM, CDM, CF",1
R. Al Najjar,GK,"GK, CB, CAM, CDM, CF",1
S. Melvin,GK,"GK, CB, CAM, CDM, CF",1
O. Pettersson,ST,"ST, RW, CAM, CF, CM",1
B. Galach,ST,"ST, LM, CF, CB, RM",1
G. Rosario,GK,"GK, CB, CAM, CDM, CF",1
R. Hauge,CM,"CM, CDM, RB, LB, LW",1
F. Norman,GK,"GK, CB, CAM, CDM, CF",1
S. Al Zaqati,ST,"ST, RM, CAM, CF, CM",1
D. Thøgersen,LB,"LB, RB, CB, LWB, CDM",1
Abdugheni Abduhamit,RM,"RM, CDM, CM, CAM, LB",1
A. Kargbo,CF,"CF, ST, LM, CDM, CM",1
O. Lindqvist,RB,"RB, LB, CM, CB, CDM",1
M. Hermansen,GK,"GK, CB, CAM, CDM, CF",1
Ali Shirmemet,CAM,"CAM, RM, CM, LM, LW",1
C. Pavéz,CM,"CM, CDM, RB, RM, RW",1
N. Al Harbi,CM,"CM, CAM, LM, RM, CF",1
M. Hołownia,LB,"LB, RB, CB, CDM, CM",1
M. Grabowski,LB,"LB, RB, CB, CM, CDM",1
M. Mansour,LB,"LB, CB, RB, CDM, CF",1
Ding Bowei,GK,"GK, CB, CAM, CDM, CF",1
C. Royo,LB,"LB, RB, CM, RWB, CB",1
N. Nurmi,CB,"CB, CDM, LB, CAM, CF",1
Zhang Hengyuan,CDM,"CDM, CM, CB, CAM, LB",1
S. Allardice,CM,"CM, CDM, LB, RB, CAM",0
A. Ousou,CB,"CB, GK, LB, CDM, CAM",1
S. Al Wehimid,GK,"GK, CB, CAM, CDM, CF",1
Han Zilong,LM,"RM, LM, CAM, ST, CM",0
J. Cavallo,CM,"CM, CB, CDM, RB, LB",1
C. Addai,GK,"GK, CB, CAM, CDM, CF",1
J. Haak,CM,"CM, CDM, LB, CB, RB",0
W. Møller,ST,"ST, LM, CM, RW, RM",1
O. Dale,ST,"ST, LM, CAM, CF, CM",1
J. Ellis,ST,"ST, RM, RW, LM, CAM",1
J. Sims,GK,"GK, CB, CAM, CDM, CF",1
Zhu Zhengyu,RM,"RM, LM, CAM, LW, CM",1
I. Richards,GK,"GK, CB, CAM, CDM, CF",1
Cao Sheng,RW,"ST, RM, LM, RW, LW",0
J. Tupper,GK,"GK, CB, CAM, CDM, CF",1
J. Olofsson,CDM,"CDM, CM, LB, RB, CB",1
J. Mortensen,LB,"LB, RB, CB, RW, CAM",1
B. Horton,LB,"LB, RB, CB, CM, CDM",1
S. Al Saeed,CM,"CM, CDM, CAM, RB, CB",1
G. Garner,ST,"ST, CF, CB, CDM, CM",1
Sun Qibin,GK,"GK, CB, CAM, CDM, CF",1
M. Sutton,GK,"GK, CB, CAM, CDM, CF",1
E. Abulu,LB,"LB, RB, CB, CM, CDM",1
Liu Yi,CDM,"CDM, CM, RB, RM, LB",1
E. Dahlqvist,LWB,"LWB, RB, LB, CB, RM",0
J. García,GK,"GK, CB, CAM, CDM, CF",1
J. Goff,GK,"GK, CB, CAM, CDM, CF",1
Zhang Gong,CDM,"CDM, CM, RB, CB, LB",1
Liu Bin,CDM,"CDM, CM, CB, LB, RM",1
Yin Congyao,CAM,"CAM, CM, CDM, RB, RM",1
Liu Yaoxin,CM,"CM, CDM, CAM, CB, RB",1
T. O'Connor,CB,"CB, GK, LB, CDM, CAM",1
F. Sinclair-Smith,ST,"ST, LM, RM, RW, CF",1
C. Jones,CM,"CM, CDM, CAM, CF, ST",1
J. Greatorex,GK,"GK, CB, CAM, CDM, CF",1
N. Stephan,GK,"GK, CB, CAM, CDM, CF",1
T. Maloney,CM,"CM, CDM, LB, CB, CAM",1
Zhu Jiayi,CB,"CB, GK, CM, RM, CDM",1
G. Hollywood,CM,"CM, CAM, ST, RM, LM",1
O. Finney,CM,"CM, CAM, RM, RB, RWB",1
N. Fuentes,RB,"RB, CB, LB, CM, GK",1
S. Squire,CDM,"CM, CDM, RB, LB, CB",0
J. Norville-Williams,LB,"LB, RB, CB, CM, CDM",1
L. Watkins,CM,"CM, CDM, CAM, CB, LB",1
A. Kaltner,ST,"ST, LM, CAM, RM, LW",1
L. Collins,CM,"CM, CAM, CDM, LM, RM",1
C. Ehlich,RB,"RB, CM, ST, CDM, CB",1
Zhang Yufeng,CM,"CM, CDM, CB, RM, RB",1
Gao Yuqin,GK,"GK, CB, CAM, CDM, CF",1
D. Walker-Rice,RW,"RW, LM, ST, LW, RM",1
E. Tweed,CM,"CM, CDM, CAM, LB, RB",1
K. Pilkington,GK,"GK, CB, CAM, CDM, CF",1
Y. Góez,CDM,"CDM, CM, CB, CAM, LB",1
C. Maher,RB,"RB, LB, CM, CB, CAM",1
M. Hurst,GK,"GK, CB, CAM, CDM, CF",1
E. Minogue,GK,"GK, CB, CAM, CDM, CF",1
G. Nugent,CM,"CM, CDM, CB, RM, LB",0
N. Christoffersson,ST,"ST, RM, GK, RW, LM",1
L. Jones,GK,"GK, CAM, ST, CDM, CF",1
L. Offord,RB,"RB, CB, LB, GK, CDM",1
J. Ruíz,GK,"GK, CB, CAM, CDM, CF",1
O. Antman,CM,"CAM, CM, ST, RM, LM",0
S. Griffin,CM,"CM, CDM, RB, CAM, CB",1
J. Milli,GK,"GK, CB, CAM, CDM, CF",1
K. Catalán,GK,"GK, CB, CAM, CDM, CF",1
J. Williams,CB,"CB, LB, RB, CDM, CF",1
L. Wahlstedt,GK,"GK, CB, CAM, CDM, CF",1
T. Hillman,RM,"RM, ST, CAM, LW, LM",1
N. Yahaya,ST,"ST, RM, GK, CM, LM",1
E. Clarke,LB,"LB, RB, CM, CB, CDM",0
C. Hawkins,GK,"GK, CB, CAM, CDM, CF",1
Wu Lei,CDM,"CDM, CM, RM, LM, RB",1
H. Norris,CB,"CB, RB, GK, LB, CDM",1
M. Frøkjær-Jensen,CM,"CM, CDM, LB, CAM, RM",0
J. Livesey,GK,"GK, CB, CAM, CDM, CF",1
C. Prior,CM,"CM, CDM, ST, CAM, RM",0
D. Szczepaniak,GK,"GK, CB, CAM, CDM, CF",1
T. Lawal,GK,"GK, CB, CAM, CDM, CF",1
T. Clare,ST,"ST, CB, CM, RM, RW",1
I. Roldán,LB,"RB, LB, CM, CDM, CB",0
M. Djabi,ST,"ST, RM, RW, CF, CAM",1
Wang Shilong,CB,"CB, LB, CDM, RB, CM",1
J. Devine,CM,"CM, CDM, CB, RB, LB",1
A. Rafferty,CB,"CB, GK, RB, CDM, CAM",1
Liu Guobo,CM,"CM, CAM, CDM, CF, LM",1
C. Levingston,CM,"CM, CDM, CAM, CB, RM",1
D. Mackay,GK,"GK, CB, CAM, CDM, CF",1
S. Väänänen,CM,"CM, CAM, RM, LM, RW",1
S. Higashi,CM,"CM, CAM, LB, RM, RB",1
M. Brzozowski,GK,"GK, CB, CAM, CDM, CF",1
M. Harsman,GK,"GK, CB, CAM, CDM, CF",1
Park Han Keun,GK,"GK, CB, CAM, CDM, CF",1
C. Harkin,CM,"CM, CDM, CAM, RM, LB",1
W. Henry,GK,"GK, CB, CAM, CDM, CF",1
H. Dotson,CM,"CM, CDM, CAM, RB, CB",1
Li Yuyang,CM,"CM, CDM, LB, CB, RB",1
M. Pollock,CB,"CB, LB, GK, RB, CDM",1
Cui Lin,LB,"LB, RB, CB, GK, CM",1
Chen Yajun,CM,"CM, CDM, CB, RB, LB",1
K. Hawley,ST,"ST, GK, CF, RW, CAM",1
Zhang Hui,CM,"CM, CDM, CAM, RM, LM",1
F. Iron,GK,"GK, CB, CAM, CDM, CF",1
S. Spasov,ST,"ST, CF, CAM, CDM, CM",1
D. Norman Jr.,CM,"CM, CDM, CB, CAM, LB",1
G. Figliuzzi,GK,"GK, CB, CAM, CDM, CF",1
C. Herrera,CAM,"CAM, CM, RM, LM, RWB",1
A. Parkes,GK,"GK, CB, CAM, CDM, CF",1
B. Buckley,CAM,"CM, CAM, RM, LM, ST",0
Xie Xiaofan,CM,"CM, LB, CAM, CDM, RM",1
T. Callens,GK,"GK, CB, CAM, CDM, CF",1
R. Law,LB,"LB, RB, CB, CDM, CF",1
K. Moesgaard,LW,"LW, RM, LM, RW, CM",1
F. Ibrahim,LB,"LB, RB, CB, CM, CDM",1
R. Pasquel,GK,"GK, CB, CAM, CDM, CF",1
S. Schimandl,CM,"CM, CDM, CB, CAM, RB",0
G. Tegue,CB,"CB, LB, RB, CDM, CF",1
O. Ollikainen,CM,"CM, CDM, CAM, RB, RM",1
J. Kelly,GK,"GK, CB, CAM, CDM, CF",1
A. Osmanoski,CM,"CM, CDM, CAM, CB, GK",1
A. Iontton,CM,"CM, CDM, CAM, RW, RB",1
M. Kikkenborg,GK,"GK, CB, CAM, CDM, CF",1
T. Johnson,RB,"RB, LB, CDM, LM, LWB",1
V. Smedsrud,GK,"GK, CB, CAM, CDM, CF",1
H. Bernat,GK,"GK, CB, CAM, CDM, CF",1
J. Hipper,GK,"GK, CB, CAM, CDM, CF",1
M. Bodys,GK,"GK, CB, CAM, CDM, CF",1
B. Arapovic,CM,"CM, CDM, CF, LB, LM",1
M. Connor,GK,"GK, CB, CAM, CDM, CF",1
J. Granlund,GK,"GK, CB, CAM, CDM, CF",1
S. Dawood,CB,"CB, CAM, CDM, CF, CM",1
E. Bilen,GK,"GK, CB, CAM, CDM, CF",1
G. Barry,CM,"CM, CAM, RM, LM, CDM",1
P. Paya,CDM,"CDM, CB, RB, CM, LB",1
M. Schantl,CM,"CM, CDM, CAM, RM, LM",1
L. Humphries,CM,"CM, CDM, CB, LB, CAM",1
R. Shibamoto,CM,"CM, CAM, RM, RB, CF",1
M. Ichimaru,CDM,"CDM, CM, RB, CB, CAM",1
J. Sheridan,LB,"LB, RB, CB, CDM, GK",1
Zhang Jingyi,GK,"GK, CB, CAM, CDM, CF",1
R. Hackett-Fairchild,ST,"ST, CM, CB, LM, CF",1
Gao Dalun,ST,"ST, CF, CM, RW, RM",1
Hong Hyeon Seok,CM,"CM, CAM, CDM, LM, RM",1
Yang Guoyuan,CM,"CM, CAM, CDM, RB, RM",1
C. Mesa,CB,"CB, LB, RB, CDM, CF",1
Teng Shangkun,GK,"GK, CB, CAM, CDM, CF",1
E. Holm,CB,"CB, LB, RB, CDM, CM",1
R. Wikström,CB,"CB, RB, LB, CDM, LWB",1
E. Destanoglu,GK,"GK, CB, CAM, CDM, CF",1
F. Nørgaard,GK,"GK, CB, CAM, CDM, CF",1
O. Battersby,GK,"GK, CB, CAM, CDM, CF",1
P. Cleary,RB,"RB, CB, CDM, LB, CM",1
K. Civelek,GK,"GK, CB, CAM, CDM, CF",1
P. Szysz,ST,"ST, CF, CAM, CM, CB",1
J. Rodriguez,CB,"CB, CM, CAM, CDM, CF",1
L. Vargas,CB,"CB, GK, RB, CDM, CF",1
M. Humpenöder,GK,"GK, CB, CAM, CDM, CF",1
K. Gunnarshaug,CM,"CM, CDM, CAM, CB, CF",1
C. McGilp,CM,"CM, CAM, LM, RB, RM",1
Min-Ho Kim,GK,"GK, CB, CAM, CDM, CF",1
S. Parada,ST,"ST, CF, CDM, GK, RW",1
Z. Jones,GK,"GK, CB, CAM, CDM, CF",1
B. Hedley,CDM,"CDM, CM, RB, LM, CAM",1
Zhang Enge,CB,"CB, CAM, CDM, CF, CM",1
M. Kouogun,CB,"CB, LB, CAM, CDM, CF",1
J. Bonilla,CM,"CM, CAM, RM, LM, ST",1
Cai Peilei,CB,"CB, LB, CDM, RB, CM",1
C. Cappis,CM,"CM, CDM, LM, LB, RWB",1
D. Asonganyi,ST,"ST, RM, CAM, CF, LW",1
A. Mills,GK,"GK, CB, CAM, CDM, CF",1
J. Miszczuk,GK,"GK, CB, CAM, CDM, CF",1
Wang Jinze,ST,"ST, RM, CB, LM, CM",1
A. Perea,CM,"CM, CDM, CAM, CB, LB",0
S. Foss,CB,"CB, CM, RB, CDM, CF",1
M. Gudmann,CB,"CB, RB, CDM, CF, CM",1
E. Kumah,CAM,"CAM, CM, RM, ST, GK",1
J. Kellermann,CM,"CM, CDM, CB, CAM, LB",0
Chen Zhao,GK,"GK, CB, CAM, CDM, CF",1
M. Gulliksen,CM,"CM, CDM, CAM, RM, ST",1
J. Pettigrew,GK,"GK, CB, CAM, CDM, CF",1
R. York,CM,"CM, CDM, CAM, RB, LB",1
S. Laitinen,RB,"RB, LB, CDM, CB, ST",1
H. Kisiel,CM,"CM, CAM, CDM, RM, LB",1
N. Jenssen,CB,"CB, RB, CAM, CF, CM",1
T. Rohde,ST,"ST, LW, CF, RW, RM",1
R. Grym,CM,"CM, CDM, CAM, RM, LM",1
J. Szpaderski,GK,"GK, CB, CAM, CDM, CF",1
M. Woźniak,GK,"GK, CB, CAM, CDM, CF",1
Z. Hemming,GK,"GK, CB, CAM, CDM, CF",1
Yu Bin,RB,"RB, LB, CB, LWB, RM",0
L. Finochietto,GK,"GK, CB, CAM, CDM, CF",1
C. Kennedy,CB,"CB, LB, CAM, CDM, CF",1
A. Youssef,CM,"CM, CAM, RM, LM, LW",1
J. Steiger,CM,"CM, CDM, CB, LB, RB",1
D. Craddock,GK,"GK, CB, CAM, CDM, CF",1
Zhang Yuan,CM,"CM, CDM, RM, RB, CAM",1
E. López,CM,"CM, CF, CAM, CDM, CB",1
R. Takae,CDM,"CDM, CM, CB, RW, CAM",1
S. Benda,GK,"GK, CB, CAM, CDM, CF",1
C. Gasper,CB,"CB, CDM, GK, ST, CAM",1
Nicolas Firmino,CAM,"CAM, CM, RM, LM, ST",1
A. McGovern,LB,"LB, CB, RB, LWB, RM",1
H. Geelmuyden,ST,"ST, CF, CAM, CDM, CM",1
J. García,GK,"GK, CB, CAM, CDM, CF",1
J. Harboe,CM,"CM, CAM, RM, LM, CF",1
M. Najjar,ST,"ST, LM, CB, CM, CF",1
Kim Jong Jin,CM,"CM, RM, LM, LB, RB",1
Cai Haojian,CM,"CM, CB, RB, CDM, LB",1
A. Melo,CM,"CM, CAM, LM, RM, RW",1
B. Hvidt,CM,"CM, CDM, CB, CAM, RB",1
F. Tapp,CB,"CB, LB, ST, CDM, CF",1
A. Tjærandsen-Skau,CM,"CM, CAM, CDM, LM, RB",1
J. Spruce,ST,"ST, LM, RM, RW, CAM",1
P. Albornoz,GK,"GK, CB, CAM, CDM, CF",1
L. Cavallini,LW,"LW, LM, RW, RM, ST",0
S. Sarri,GK,"GK, CB, CAM, CDM, CF",1
K. Konstandopoulos,CAM,"CAM, CM, RM, RW, ST",0
J. Millán,LB,"CM, CDM, CB, RB, CAM",0
L. Brown,CM,"CM, CAM, LB, CDM, LM",1
D. Walsh,ST,"ST, CB, CAM, CF, CM",1
C. Øyvann,CB,"CB, CAM, CDM, CM, LB",1
Carlos Mendes Gomes,CAM,"CAM, LM, RM, ST, RW",1
R. Graydon,RM,"RM, LM, ST, CAM, CM",1
A. Reghba,ST,"ST, LM, RM, RW, CAM",1
J. Baccay,LM,"LM, CM, CAM, RM, CF",1
K. Oshiro,CB,"CB, RB, LB, GK, CDM",1
M. Oyama,CAM,"CAM, CM, RM, RB, ST",1
P. Niyongabire,CAM,"CAM, CM, ST, LM, RM",1
J. Auer,LM,"LM, RM, CAM, ST, LW",1
B. Morgan,CB,"CB, GK, LB, RB, CDM",1
Duan Liuyu,ST,"ST, CB, CAM, CF, CM",1
Zhao Jianfei,CB,"CB, CAM, CDM, CF, CM",1
J. Osobiński,GK,"GK, CB, CAM, CDM, CF",1
A. Heap,CM,"CM, CDM, CAM, LM, RM",1
J. Caldwell,GK,"GK, CB, CAM, CDM, CF",1
S. Fielding,CB,"CB, CAM, CDM, CF, CM",1
M. Wolfe,CM,"CM, CDM, CAM, CB, RB",1
F. Mortensen,CM,"CM, CDM, CB, RB, CAM",1
L. Cornic,RB,"RB, LB, LM, CM, CDM",1
J. Akanyirige,CB,"CB, LB, RB, CDM, CM",1
J. Dunn,CB,"CB, CAM, CDM, CF, CM",1
A. Daniels,CAM,"CAM, CM, CB, CF, RM",1
F. Delaveris,LW,"ST, RM, RW, LM, CAM",1
E. Harloff,GK,"GK, CB, CAM, CDM, CF",1
D. Horneland,CB,"CB, CAM, CDM, CF, CM",1
D. Mamaliga,CM,"CM, RM, CDM, ST, CAM",1
R. Mimnaugh,CM,"CM, CDM, RM, LB, RWB",1
W. Bedfian,GK,"GK, CB, CAM, CDM, CF",1
A. Vergara,ST,"ST, RB, GK, CDM, CF",1
J. Imbrechts,GK,"GK, CB, CAM, CDM, CF",1
G. Ito,GK,"GK, CB, CAM, CDM, CF",1
A. Czaplak,GK,"GK, CB, CAM, CDM, CF",1
J. Cuero,CM,"CM, CDM, RB, RM, CF",1
N. Hatta,GK,"GK, CB, CAM, CDM, CF",1
S. Faiqi,CM,"CM, CDM, RB, LB, LM",1
A. Knüver,CM,"CM, CDM, RB, RM, CB",1
H. Beasley,GK,"GK, CB, CAM, CDM, CF",1
F. Mambimbi,LM,"LM, LW, ST, RM, RW",1
P. Świątko,CB,"CB, CAM, CDM, CF, CM",1
S. Gustafsson,GK,"GK, CB, CAM, CDM, CF",1
K. Sanada,GK,"GK, CB, CAM, CDM, CF",1
P. Azizi,CB,"CB, LB, CAM, CDM, CF",1
A. Ekblad,CB,"CB, LB, CAM, CDM, CF",1
T. Ko,CM,"CM, CDM, CAM, RB, LB",1
D. Murphy,CM,"CM, RM, CAM, RB, RW",1
N. Marthinussen,CB,"CB, CDM, CM, RB, LB",0
Liu Shibo,GK,"GK, CB, CAM, CDM, CF",1
M. Al Dhafeeri,ST,"ST, CAM, CM, CF, LW",1
B. Figueroa,ST,"ST, RW, CM, CDM, CF",1
N. Al Farshan,CM,"CM, CDM, LB, RB, CB",1
A. Torvund,ST,"ST, LM, RM, RB, CAM",1
M. Clausen,RB,"RB, LB, CB, CDM, CAM",1
H. Ravas,GK,"GK, CB, CAM, CDM, CF",1
A. Kilgour,CB,"CB, CDM, CM, GK, RB",1
M. Aramburu,ST,"ST, RM, RW, CF, CAM",1
M. De Ruyver,CB,"CB, LB, CAM, CDM, CF",1
J. Iaciofano,ST,"ST, CF, CAM, RM, LM",1
V. Labrín,RM,"RM, CM, LM, CDM, CAM",1
Anwar Memet Ali,ST,"ST, LM, RM, LW, CF",1
B. Chevreuil,CAM,"CAM, CM, RM, ST, LM",1
O. Björtuft,CB,"CB, ST, CAM, CF, CM",1
Zhou Ting,CM,"CM, CAM, LM, ST, RM",0
F. Tauchhammer,RB,"RB, LB, CB, CM, LWB",0
R. Niizato,CM,"CM, ST, CB, LB, CDM",1
S. Golui,RB,"RB, LB, CB, CM, CDM",1
Jin Qi,CB,"CB, CM, RB, CDM, CF",1
G. Cuevas,CB,"CB, LB, CAM, CDM, CF",1
G. Ranjitsingh,GK,"GK, CB, CAM, CDM, CF",1
Liang Jinhu,CB,"CB, CAM, CDM, CF, CM",1
M. Kusu,CDM,"CDM, CB, CM, LB, CAM",1
C. Gutiérrez,ST,"ST, CF, CB, LM, RM",1
A. Kappenberger,GK,"GK, CB, CAM, CDM, CF",1
A. Maynard-Brewer,GK,"GK, CB, CAM, CDM, CF",1
L. Klitten,LB,"LB, RB, CM, CDM, RWB",1
M. Al Baqawi,GK,"GK, CB, CAM, CDM, CF",1
Nan Xiaoheng,ST,"ST, CAM, CDM, GK, CF",1
N. Corbet,GK,"GK, CB, CAM, CDM, CF",1
A. Bark,ST,"ST, CAM, CF, LM, RM",1
E. Gumbs,CB,"CB, CM, ST, LB, CAM",1
A. Ahl Holmström,ST,"ST, RM, CAM, CF, CM",1
M. Finnestrand,GK,"GK, CB, CAM, CDM, CF",1
A. Mahlonoko,CAM,"CAM, ST, LW, CF, RM",1
J. Brendieck,GK,"GK, CB, CAM, CDM, CF",1
M. Olczyk,RB,"RB, LB, CB, CDM, CAM",1
G. Zuñiga,RB,"CB, RB, LB, CDM, CM",0
C. Hinestroza,CB,"CB, CDM, LB, RB, GK",1
R. Fujimura,CF,"CF, ST, LW, RM, LM",1
C. Cañizales,CAM,"CAM, CM, RM, RW, LM",1
D. Parkhouse,ST,"ST, LM, RM, RW, CAM",1
M. Boe Mikkelsen,RM,"RM, LM, ST, LW, CAM",1
M. Nelson,GK,"GK, CB, CAM, CDM, CF",1
L. Beckemeyer,GK,"GK, CB, CAM, CDM, CF",1
A. Lesiotis,CDM,"CDM, CM, CB, CAM, LB",1
A. Stamatelopoulos,ST,"ST, RM, CM, CF, LM",1
M. Travers,GK,"GK, CB, CAM, CDM, CF",1
A. Weidinger,GK,"GK, CB, CAM, CDM, CF",1
R. Cunningham,CM,"CM, ST, CAM, CDM, CB",1
K. Askildsen,CM,"CM, CDM, CAM, LB, RM",1
S. Opsahl,CM,"CM, LB, CDM, ST, LM",1
K. Yakob,CM,"CM, CDM, CAM, RM, CB",1
H. Biggins,CM,"CM, CAM, CF, RM, ST",1
D. Mandroiu,CM,"CM, RM, CDM, CB, RB",1
B. Żynel,GK,"GK, CB, CAM, CDM, CF",1
A. Scott,ST,"ST, RM, CF, CM, LM",1
M. Yıldız,GK,"GK, CB, CAM, CDM, CF",1
L. Smyth,ST,"ST, CF, LW, RM, CDM",1
S. Noreña,CB,"CB, CAM, CDM, CF, CM",1
M. Kastrati,RB,"RB, LB, CB, CDM, CM",1
J. Lambert,RM,"CM, RM, CAM, RWB, CDM",0
Ahn Byeong Geon,CB,"CB, GK, CM, LB, CAM",1
J. Silgado,ST,"ST, RW, CAM, LM, CF",1
R. Adamski,ST,"ST, CM, CF, LM, RM",1
S. Phillips,GK,"GK, CB, CAM, CDM, CF",1
Jang Seong Won,RM,"RM, LM, CAM, ST, LW",1
Iván Martínez,GK,"GK, RM, CB, CDM, CF",1
L. Mikkelsen,GK,"GK, CB, CAM, CDM, CF",1
P. Kirk,LB,"LB, RB, CM, CB, CDM",1
M. Scevola,GK,"GK, CB, CAM, CDM, CF",1
Y. Al Harbi,CM,"CM, CDM, CAM, CB, CF",1
Xue Yanan,RB,"RB, CDM, CB, CM, RM",0
P. Durin,GK,"GK, CB, CAM, CDM, CF",1
P. Sokół,GK,"GK, CB, CAM, CDM, CF",1
R. Yamamoto,CF,"CF, ST, CAM, LM, RM",1
Feng Boxuan,RM,"RM, LM, RW, ST, LW",0
O. Kåhed,RWB,"RWB, CM, CAM, RM, LM",1
J. Adebayo-Smith,ST,"ST, LM, RM, LW, CAM",1
B. Grøtterud,GK,"GK, CB, CAM, CDM, CF",1
S. Graves,CB,"CB, CAM, CDM, CF, CM",1
G. Nyberg,GK,"GK, CB, CAM, CDM, CF",1
G. Sloggett,CM,"CM, CDM, CB, RM, RB",0
O. Byrne,GK,"GK, CB, CAM, CDM, CF",1
D. Walters,LM,"LM, RM, CAM, LW, CM",1
T. Warner,GK,"GK, CB, CAM, CDM, CF",1
M. Al Shudukhi,RM,"RM, LM, ST, CAM, LW",1
L. Soldini,GK,"GK, CB, CAM, CDM, CF",1
A. Al Meqran,ST,"ST, CB, CAM, CF, CM",1
C. Richards,LB,"LB, RB, CB, CM, CDM",0
N. Vidal,GK,"GK, CB, CAM, CDM, CF",1
D. Sesay,RWB,"LB, RB, CB, CDM, CM",0
G. Henriksson,CB,"CB, CM, LB, CDM, RB",1
M. O'Connor,GK,"GK, CB, CAM, CDM, CF",1
F. Nicastro,GK,"GK, CB, CAM, CDM, CF",1
M. Ozga,CB,"CB, CDM, LB, RB, CAM",1
Yan Hao,ST,"ST, CB, CAM, CM, CF",1
C. Sangster,CM,"CM, CAM, ST, CDM, LM",1
E. Cerrillo,CM,"CM, CDM, CAM, LB, CB",1
L. Coddington,GK,"GK, CB, CAM, CDM, CF",1
Zhao Mingyu,ST,"ST, LW, RM, CF, LM",1
Sun Weizhe,CDM,"CDM, LB, CM, RB, CB",1
J. Hiratsuka,ST,"ST, CAM, RM, RW, LW",1
M. Frendrup,CM,"CM, CDM, LB, RB, CAM",0
J. Hoormann,CB,"CB, LB, CDM, GK, CAM",1
L. Holtkamp,CDM,"CDM, CM, CB, CAM, LB",1
N. Persson,CM,"CM, CDM, CAM, RM, LM",1
J. Kiilerich,CB,"CB, CAM, CDM, CF, CM",1
V. Moreno,CM,"CM, RB, CDM, LM, RW",1
J. Borquez,GK,"GK, CB, CAM, CDM, CF",1
D. Dumont,CB,"CB, RB, CAM, CF, CM",1
A. Daghim,RM,"RM, LM, LW, ST, CAM",1
S. Rodríguez,CB,"CB, RB, GK, CM, CDM",1
J. Belsten,RB,"RB, LB, CDM, LM, LWB",1
D. Valencia,ST,"ST, RM, CF, RW, LM",1
A. Rose,ST,"ST, RM, LM, RW, LW",0
M. Hayashi,GK,"GK, CB, CAM, CDM, CF",1
J. Bartels,GK,"GK, CB, CAM, CDM, CF",1
R. Treacy,GK,"GK, CB, CAM, CDM, CF",1
J. Mondal,LM,"LM, RM, ST, LW, CAM",1
W. Longbottom,ST,"CM, RB, ST, LM, LB",0
D. Revan,CB,"CB, CAM, CDM, CF, CM",1
Liu Yu,GK,"GK, CB, CAM, CDM, CF",1
A. Skipper Hendriksen,CB,"CB, CAM, CDM, CF, CM",1
M. Al Nakhli,RM,"RM, LM, CAM, LW, CM",0
Yu Hao,CB,"CB, RB, CDM, GK, LB",1
Y. Higuchi,CM,"CM, CDM, CAM, LB, RB",1
I. Al Otaibi,CM,"CM, CAM, RM, LM, RW",1
A. Al Hassan,CDM,"CDM, CM, LB, RB, CAM",1
Chen Wei,GK,"GK, CB, CAM, CDM, CF",1
Shi Xiaodong,GK,"GK, CB, CAM, CDM, CF",1
J. Gibson,LM,"LM, RM, RW, ST, LW",1
Lee Dong Hee,CM,"CM, CDM, CAM, LB, RWB",1
M. Ramkilde,ST,"ST, CM, LM, RM, CAM",1
Kim Ji Hyun,ST,"LM, RM, ST, LW, CAM",0
J. Campaz,LM,"LM, RM, RW, ST, LW",1
L. Moser,GK,"GK, CB, CAM, CDM, CF",1
L. Ranger,RB,"RB, LB, CDM, CB, CAM",1
A. Bærtelsen,CB,"CB, CDM, CM, CAM, CF",1
S. Arango,GK,"GK, CB, CAM, CDM, CF",1
C. Simpson,ST,"ST, LM, CB, CM, RM",1
P. Ouaneh,CB,"CB, CAM, CDM, CF, CM",1
E. Alarcón,GK,"GK, CB, CAM, CDM, CF",1
Li Fang,RB,"RB, LB, CM, LWB, CB",1
Lee Hyun Woo,GK,"GK, CB, CAM, CDM, CF",1
Wang Min,GK,"GK, CB, CAM, CDM, CF",1
M. Bildøy,RW,"RW, CAM, RM, CM, LW",0
L. Jacot,GK,"GK, CB, CAM, CDM, CF",1
H. Hernández,CM,"CM, CDM, LB, RM, RB",1
L. McCarron,RW,"RW, LM, RM, LW, ST",1
Sun Kai,LB,"LB, CB, RB, CDM, CAM",1
P. Buch Christiansen,ST,"ST, RM, CAM, RW, LM",1
K. Al Mozaibri,GK,"GK, CB, CAM, CDM, CF",1
M. Cegiełka,CM,"CM, CAM, LM, RM, CDM",0
J. Randall,LM,"RM, ST, LW, LM, RW",0
H. Fossdal,GK,"GK, CB, CAM, CDM, CF",1
M. Twarowski,ST,"ST, RM, CAM, CF, CM",1
L. Armstrong,ST,"ST, CF, CB, CDM, CM",1
